text,department,priority,emergency_score
Illegal dumping of medical waste behind the private clinic at Pampady.,cleaning department,Emergency,9.5
Carcass of a large animal dumped near the Kothala Chira water source.,cleaning department,Emergency,9.6
Septic tank waste being illegally discharged into the public drain.,cleaning department,Emergency,9.8
Piped water supply contaminated by a broken sewer line nearby.,cleaning department,Emergency,10.0
Toxic chemical containers found leaking near the primary school.,cleaning department,Emergency,9.7
Hospital waste containing used syringes found in the market area.,cleaning department,Emergency,9.4
Massive drainage backflow entering the hospital emergency ward.,cleaning department,Emergency,10.0
Illegal discharge of industrial acid into the irrigation canal.,cleaning department,Emergency,9.3
Dead animal found inside the open municipal drinking well.,cleaning department,Emergency,9.9
Illegal medical waste transport vehicle leaking fluid in the market.,cleaning department,Emergency,9.3
Discovery of hazardous e-waste batteries in a burning pit near homes.,cleaning department,Emergency,9.1
Massive drainage blockage causing raw sewage to enter households.,cleaning department,Emergency,9.8
Discovery of expired toxic pesticides dumped near the reservoir.,cleaning department,Emergency,9.6
Hospital laundry waste being dumped directly into the local river.,cleaning department,Emergency,9.5
Discovery of used biomedical needles in the children park sandbox.,cleaning department,Emergency,9.7
Septic tank overflow at the crowded temple festival ground.,cleaning department,Emergency,9.4
Illegal slaughterhouse waste dumping causing immediate cholera risk.,cleaning department,Emergency,9.9
Discovery of industrial paint sludge leaking into the paddy field.,cleaning department,Emergency,9.2
Major oil spill from a waste transport truck on the highway.,cleaning department,Emergency,9.5
Infectious waste from a veterinary clinic dumped in the open.,cleaning department,Emergency,9.4
Sewer line burst causing hazardous waste to flood the street.,cleaning department,Emergency,9.7
Toxic fumes from a chemical waste fire at the roadside dump.,cleaning department,Emergency,9.8
Poisonous waste dumped near the village primary health center.,cleaning department,Emergency,9.6
Leaking septic waste truck parked near the village school gate.,cleaning department,Emergency,9.2
Discovery of a massive pile of expired drugs in the public well.,cleaning department,Emergency,9.9
Illegal dumping of battery acid into the roadside rainwater drain.,cleaning department,Emergency,9.3
Sewerage backflow in the ground floor of the public library.,cleaning department,Emergency,9.1
Discovery of human waste bags near the public drinking fountain.,cleaning department,Emergency,9.5
Industrial solvent smell coming from the neighborhood drain.,cleaning department,Emergency,9.4
Waste from a pathology lab found scattered on the village path.,cleaning department,Emergency,9.7
Leaking chemical barrels abandoned in the rubber plantation.,cleaning department,Emergency,9.2
Discovery of used bandages and blood-stained waste in the park.,cleaning department,Emergency,9.6
Sewage water entering the domestic well of the senior citizen.,cleaning department,Emergency,9.8
Illegal transport of septage dumping waste into the hill stream.,cleaning department,Emergency,9.5
Massive accumulation of rotten meat causing a public health crisis.,cleaning department,Emergency,9.4
Toxic liquid leaking from an unidentified waste drum in the lane.,cleaning department,Emergency,9.3
Discovery of sharp medical metal waste in the school playground.,cleaning department,Emergency,9.7
Industrial effluents turning the canal water red and odorous.,cleaning department,Emergency,9.6
Septic waste leaking into the basement of the apartment block.,cleaning department,Emergency,9.1
Discovery of heavy metal waste dumped in the village pond.,cleaning department,Emergency,9.2
Broken sewer pipe spraying waste onto the nearby residential wall.,cleaning department,Emergency,9.5
Expired toxic chemicals from a lab dumped in the waste bin.,cleaning department,Emergency,9.4
Massive sewage leak near the central market food stalls.,cleaning department,Emergency,9.8
Discovery of used IV sets and medicine bottles in the stream.,cleaning department,Emergency,9.6
Illegal dumping of tannery waste causing severe toxic stench.,cleaning department,Emergency,9.7
Sewage water flooding the main entry road to the local clinic.,cleaning department,Emergency,9.3
Discovery of old gas cylinders leaking in the waste yard.,cleaning department,Emergency,9.5
Toxic waste from a battery shop dumped near the playground.,cleaning department,Emergency,9.2
Sewerage overflow entering the kitchen of the community hall.,cleaning department,Emergency,9.4
Illegal dumping of laboratory chemicals near the water kiosk.,cleaning department,Emergency,9.6
Open burning of plastic waste by a neighbor causing thick smoke.,cleaning department,High,0
Illegal dumping of poultry waste on the side of NH 183.,cleaning department,High,0
Drainage canal blocked with garbage causing water stagnation.,cleaning department,High,0
Large volume of construction debris dumped on the public road.,cleaning department,High,0
Industrial effluents being released into the local stream.,cleaning department,High,0
Slaughterhouse waste smell making the area uninhabitable.,cleaning department,High,0
Request for urgent mosquito fogging due to dengue outbreak.,cleaning department,High,0
Septic tank leakage visible on the outer wall of the house.,cleaning department,High,0
Broken glass and sharp metal waste dumped near the school.,cleaning department,High,0
Illegal use of thin plastic carry bags in the village market.,cleaning department,High,0
Chicken feathers and waste found in the public drainage pipes.,cleaning department,High,0
Old tires collected in a yard and filled with rainwater.,cleaning department,High,0
Waste from the wedding hall being burned in the open yard.,cleaning department,High,0
Haritha Karma Sena members working without any safety gear.,cleaning department,High,0
Waste water from a local eatery being directed into the road.,cleaning department,High,0
Large dump of rotten fish waste causing unbearable stench.,cleaning department,High,0
Request for disinfection of the area after a hepatitis case.,cleaning department,High,0
Illegal dumping of lead-acid batteries near the rubber field.,cleaning department,High,0
Accumulation of waste at the railway station rail tracks.,cleaning department,High,0
Garbage being burned in the public park every single evening.,cleaning department,High,0
Open drainage is a breeding ground for flies near food shops.,cleaning department,High,0
Request for cleaning overgrown weeds on the village sidewalk.,cleaning department,High,0
Neighborhood drain clogged with hair waste from a local salon.,cleaning department,High,0
Request for removal of a dead dog from the NH 183 road edge.,cleaning department,High,0
Accumulated waste on the rail tracks near the station area.,cleaning department,High,0
Garbage being dumped under the village bridge during night.,cleaning department,High,0
Waste from a poultry farm attracting too many flies to homes.,cleaning department,High,0
Illegal dumping of batteries and electronic waste in the park.,cleaning department,High,0
Drainage water entering the domestic well after heavy rain.,cleaning department,High,0
Neighborhood drain full of plastic bottles needs urgent cleaning.,cleaning department,High,0
Complaint about illegal sale of hazardous chemical cleaners.,cleaning department,High,0
Neighborhood drain breeding mosquitoes and needs oiling.,cleaning department,High,0
Neighborhood drain overflowing with soapy water from car wash.,cleaning department,High,0
Neighborhood drain blocked with construction sand and grit.,cleaning department,High,0
Neighborhood park used for illegal waste dumping at night.,cleaning department,High,0
Neighborhood drain leaking into a resident's crawl space.,cleaning department,High,0
Neighborhood drain full of oil from a roadside food eatery.,cleaning department,High,0
Neighborhood drain full of waste from a poultry shop area.,cleaning department,High,0
Discovery of dead animals in the public garbage collection point.,cleaning department,High,0
Burning of rubber waste in the neighbor's compound at night.,cleaning department,High,0
Septic tank overflow from the community hall during an event.,cleaning department,High,0
Large pile of uncollected garbage near the primary health center.,cleaning department,High,0
Discovery of a clogged culvert causing road surface erosion.,cleaning department,High,0
Illegal dumping of glass bottles in the community playground.,cleaning department,High,0
Waste from a fish market being dumped in the open drain.,cleaning department,High,0
Large volume of plastic waste accumulated in the village canal.,cleaning department,High,0
Request for removal of a large hornet's nest near the park.,cleaning department,High,0
Waste from a carpentry shop being burned in a residential area.,cleaning department,High,0
Sewerage manhole cover missing on a dark pedestrian street.,cleaning department,High,0
Large volume of yard waste blocking the village drainage outlet.,cleaning department,High,0
Household waste not collected for the last three cycles.,cleaning department,Medium,0
Stray dog menace near the village park; needs monitoring.,cleaning department,Medium,0
Foul smell from a public toilet that requires better cleaning.,cleaning department,Medium,0
Accumulation of plastic bottles in the village pond area.,cleaning department,Medium,0
Neighborhood kids seen playing near an untidy waste dump.,cleaning department,Medium,0
Haritha Karma Sena skipped the inner lane collection again.,cleaning department,Medium,0
Request for removal of old rusted metal bins from the street.,cleaning department,Medium,0
Waste bins overflowing at the Kandam Bazar bus stop junction.,cleaning department,Medium,0
Mosquito breeding in small water puddles on a vacant plot.,cleaning department,Medium,0
Littering around the high-mast light at the village junction.,cleaning department,Medium,0
Pigeon droppings causing unhygienic conditions in the library.,cleaning department,Medium,0
Garbage collector refusing to take properly segregated waste.,cleaning department,Medium,0
Public urinal leaking and causing filth on the pedestrian path.,cleaning department,Medium,0
Waste being thrown into the local stream near the temple ghat.,cleaning department,Medium,0
Heavy littering after the local temple festival at Kothala.,cleaning department,Medium,0
Request for cleaning the water storage tank at the health center.,cleaning department,Medium,0
Complaint about a neighbor keeping poultry in unhygienic state.,cleaning department,Medium,0
Garbage transported in an open truck littering the highway.,cleaning department,Medium,0
Waste from a fish stall causing stench in the neighborhood.,cleaning department,Medium,0
Drainage water is stagnant and smells like rotten eggs here.,cleaning department,Medium,0
Neighborhood drain full of plastic bottles needs cleaning.,cleaning department,Medium,0
Request for removal of a fallen coconut tree from the canal.,cleaning department,Medium,0
Sewage smell coming from the basement area of a village shop.,cleaning department,Medium,0
Request for vaccination drive for stray dogs in the village.,cleaning department,Medium,0
Request for removal of waste from a public event ground.,cleaning department,Medium,0
Garbage dumped in the local village playground during night.,cleaning department,Medium,0
Neighborhood drain full of food waste from a community event.,cleaning department,Medium,0
Neighborhood drain full of waste from a tailor shop area.,cleaning department,Medium,0
Request for more waste bins near the village hall entrance.,cleaning department,Medium,0
Neighborhood drain full of waste from a local flower shop.,cleaning department,Medium,0
Broken garbage bins left on the side of the village road.,cleaning department,Medium,0
Littering around the village bus waiting shed at the junction.,cleaning department,Medium,0
Stray dogs are tearing open the garbage bags during the night.,cleaning department,Medium,0
Request for more frequent waste collection in the market area.,cleaning department,Medium,0
Foul odor from the community compost unit is spreading.,cleaning department,Medium,0
Request for the removal of the large beehive in the ward.,cleaning department,Medium,0
Request for special cleanup of the village cemetery area.,cleaning department,Medium,0
